Company Name,Round/Series,Amount,Location,About Company,Amount($),Sector,Year of Funding
TheCollegeFever,Seed,250000,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,Media and Marketing,2018
Happy Cow Dairy,Seed,5840000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,1000000.0,Agriculture,2018
MyLoanCare,Series A,9490000.0,Gurgaon,Leading Online Loans Marketplace in India,1000000.0,Fintech,2018
PayMe India,Angel,2000000,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,FinTech,2018
Eunimart,Seed,,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,1000000.0,E-commerce,2018
Hasura,Seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,SaaS,2018
Tripshelf,Seed,2336000.0,Kalkaji,Tripshelf is an online market place for holiday packages.,1000000.0,"Internet, Leisure, Marketplace",2018
Hyperdata.IO,Angel,7300000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,1000000.0,Market Research,2018
Freightwalla,Seed,,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,1000000.0,"Information Services, Information Technology",2018
Microchip Payments,Seed,,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,1000000.0,Mobile Payments,2018
BizCrum Infotech Pvt. Ltd.,Seed,,Delhi,Building Transactionary B2B Marketplaces,1000000.0,"B2B, Shoes",2018
Emojifi,Seed,,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",1000000.0,Internet,2018
Flock,Seed,,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,1000000.0,Saas,2018
Freshboxx,Seed,,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",1000000.0,Delivery System,2018
Wide Mobility Mechatronics,Seed,,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,1000000.0,AI,2018
Pitstop,Seed,14600000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1000000.0,Trasport,2018
Mihuru,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,150000.0,Technology,2018
Fyle,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,1100000.0,SaaS,2018
AppWharf,Seed,,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,1000000.0,AI,2018
Antariksh Waste Ventures Pvt ltd,Seed,73000.0,Chennai,Waste Management for Smart Cities,1000000.0,Internet of things,2018
