Company/Brand,Sector,Stage,Amount($),Location,What it does,Amount($),Year of Funding
TheCollegeFever,Brand Marketing,Seed,250000,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2018
Happy Cow Dairy,Agriculture,Seed,5840000.0,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,1000000.0,2018
MyLoanCare,Credit,Series A,9490000.0,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,1000000.0,2018
PayMe India,Financial Services,Angel,2000000,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2018
Eunimart,E-Commerce Platforms,Seed,,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,1000000.0,2018
Hasura,Cloud Infrastructure,Seed,1600000,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2018
Tripshelf,Internet,Seed,2336000.0,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,1000000.0,2018
Hyperdata.IO,Market Research,Angel,7300000.0,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,1000000.0,2018
Freightwalla,Information Services,Seed,,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,1000000.0,2018
Microchip Payments,Mobile Payments,Seed,,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,1000000.0,2018
BizCrum Infotech Pvt. Ltd.,B2B,Seed,,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,1000000.0,2018
Emojifi,Internet,Seed,,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",1000000.0,2018
Flock,Apps,Seed,,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,1000000.0,2018
Freshboxx,Food Delivery,Seed,,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",1000000.0,2018
Wide Mobility Mechatronics,Industrial Automation,Seed,,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,1000000.0,2018
Pitstop,Automotive,Seed,14600000.0,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1000000.0,2018
Mihuru,Finance,Seed,150000,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,150000.0,2018
Fyle,Accounting,Seed,1100000,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,1100000.0,2018
AppWharf,Artificial Intelligence,Seed,,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,1000000.0,2018
Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,73000.0,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,1000000.0,2018
Cogoport,Air Transportation,Series A,6000000,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2018
PaisaDukan,Financial Services,Seed,650000,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,650000.0,2018
Sleepy Owl Coffee,Food and Beverage,Seed,5110000.0,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",1000000.0,2018
BlueJack,Autonomous Vehicles,Seed,9344000.0,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,1000000.0,2018
PregBuddy,Enterprise Software,Seed,,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,1000000.0,2018
AgNext Technologies,Agriculture,Series A,,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,1000000.0,2018
Pando,Logistics,Seed,2000000,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2018
Mintifi,Financial Services,Seed,2000000,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,2000000.0,2018
Carcrew,Automotive,Seed,2000000,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,2000000.0,2018
NicheAI,Artificial Intelligence,Angel,,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,1000000.0,2018
Chariot Tech,Internet of Things,Seed,2920000.0,"New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,1000000.0,2018
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2018
Loanzen,Financial Services,Seed,,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,1000000.0,2018
Mojro Technologies,Information Technology,Seed,650000,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2018
Elemential,Blockchain,Seed,1000000,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2018
Loadshare,Industrial Automation,Series A,5000000,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,5000000.0,2018
Yumlane,Food and Beverage,Series A,4000000,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,4000000.0,2018
Kriger Campus,Education,Seed,4380000.0,"New Delhi, Delhi, India",A Education Start Up.,1000000.0,2018
Pipa+Bella,E-Commerce,Series A,1000000,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,1000000.0,2018
Kaleidofin,Financial Services,Seed,2800000,"Chennai, Tamil Nadu, India",A fintech platform.,2800000.0,2018
Chakr Innovation,Renewable Energy,Seed,,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,1000000.0,2018
IndigoLearn,E-Learning,Seed,150000,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,150000.0,2018
